"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"Rpsa",816.3,779.336,652.581,599.656,638.608,570.766,512.674,579.441,711.92
"Rptn",0.118165,0,0,0,0,0,0,0,0
"Rptor",7.41051,6.22572,7.66433,6.58298,5.0808,6.6459,5.59969,4.10576,3.22177
"Rptoros",0.956982,0,1.89127,0,0,0,0,0,0
"Rpusd1",8.06886,5.66648,8.58596,1.96655,3.41505,2.7073,8.90369,4.24567,8.9168
"Rpusd2",7.08745,5.04378,7.84333,3.59292,5.19946,6.59502,4.43649,3.87844,5.68896
"Rpusd3",14.4023,7.96867,6.89972,8.29674,3.20174,3.80729,14.7979,7.96095,16.7197
"Rpusd4",18.9842,17.229,19.6236,18.5074,20.3549,10.1914,15.9969,20.6441,14.7853
"Rqcd1",34.6766,35.4609,33.6621,46.2604,37.9357,31.8427,31.3377,39.5332,35.3754
"Rrad",54.9582,43.8364,61.6776,23.6471,23.6433,17.7569,40.7018,33.2615,27.3855
"Rraga",77.3575,87.7563,90.1546,81.6993,58.2057,54.7945,72.4276,76.8852,80.9637
"Rragb",1.56876,1.25908,1.7715,0,4.11022,1.95504,1.16903,3.57694,3.67951
"Rragc",14.5369,16.3343,16.8533,17.1951,14.2193,8.4543,15.6715,14.1422,14.0552
"Rragd",0.0961959,0,0,0,0,0,0,0.438675,0.131616
"Rras",9.38421,8.78656,14.8358,11.8931,0,5.45762,8.15858,18.5441,9.41564
"Rras2",22.0261,26.2015,16.8779,81.181,44.5188,70.5849,42.7931,32.7981,44.8969
"Rrbp1",79.2557,78.161,88.6817,24.925,22.6761,22.8851,39.5732,44.4131,40.7449
"Rreb1",4.83189,4.59972,4.66899,1.22658,3.32371,1.98328,3.52874,3.49283,3.78306
"Rrh",0,0,0,0,0,0,0,0,0
"Rrm1",162.346,139.196,133.473,154.079,195.045,216.4,100.252,162.403,164.659
"Rrm2",218.35,207.763,185.259,174.633,253.151,228.083,159.73,212.679,237.193
"Rrm2b",1.08133,1.82257,2.99165,2.74086,2.37985,0,2.25626,2.46556,1.47949
"Rrn3",21.1329,20.8163,21.6945,20.8697,32.2148,21.548,22.5485,32.5408,25.9101
"Rrnad1",7.57542,7.17588,6.26662,7.81454,10.3394,15.3686,5.0544,7.23048,10.6058
"Rrp1",127.176,137.319,114.19,170.004,110.709,117.02,137.255,121.166,110.825
"Rrp12",33.2731,35.2891,38.0204,26.5347,21.5867,25.6694,24.795,25.5468,32.8271
"Rrp15",37.805,26.5486,18.2217,37.9792,43.969,84.4601,50.5037,47.3047,46.6786
"Rrp1b",20.5363,19.4666,21.1912,19.8726,28.2019,29.1231,20.5807,20.2986,25.0528
"Rrp36",17.7298,16.3826,27.6607,20.696,22.2485,16.2809,15.8198,28.7237,20.4278
"Rrp7a",43.4423,39.305,34.7609,42.2214,44.9698,41.8499,30.5856,35.8536,37.5589
"Rrp8",19.4889,18.2488,14.5725,27.8145,12.2364,18.3799,17.4013,14.8123,18.7374
"Rrp9",45.3565,44.103,46.8843,37.5848,34.554,27.3928,43.6794,41.3672,30.5511
"Rrs1",49.9707,58.1338,60.846,47.9776,37.0295,33.0247,44.1025,42.5832,52.8314
"Rs1",0,0,0,0,0,0,0,0,0
"Rsad1",1.88825,1.98913,0.932871,2.24351,0.865779,0,1.84684,2.15271,0.645878
"Rsad2",1.43074,1.82687,2.05627,0,0,0,2.03543,0.296567,1.42366
"Rsbn1",5.21458,5.41796,6.77579,6.78977,7.86059,12.463,7.63869,8.63235,7.23234
"Rsbn1l",7.22807,6.97209,5.16283,7.17389,7.98586,11.3955,7.26829,9.92819,8.81712
"Rsc1a1",0,0,0,0,0,0,0,0,0
"Rsf1",4.4365,4.19423,6.06962,5.67667,5.63309,10.4199,6.11939,6.80865,8.05447
"Rsg1",1.86433,3.4912,2.45615,0,2.2795,0,0,2.83392,0
"Rsl1",0.505576,2.1303,1.9982,3.20371,0.927243,6.61568,2.63727,1.72915,2.42106
"Rsl1d1",144.28,119.11,118.097,115.411,180.585,265.631,115.787,192.713,218.43
"Rsl24d1",56.1044,49.064,44.6274,46.9555,73.7755,89.2678,46.9362,79.6509,72.4172
"Rslcan18",0.167684,0,0,0,0,0,0,0.382332,0
"Rsph1",0.969032,0,0,0,0,0,0,0,0
"Rsph3a",2.12002,4.09426,3.14212,5.03776,1.94409,2.31178,5.5294,1.8127,0.725154
"Rsph3b",1.31954,1.39,2.60763,2.09041,2.42009,5.7556,0,0.752176,1.35405
"Rsph4a",0,0,0,0,0,0,0.352516,0,0
"Rsph6a",0,0,0,0,0,0,0,0,0
"Rsph9",0,0,0,0,0,0,0,0,0
"Rspo1",0,0,0,0,0,0,0,0,0
"Rspo2",0,0,0,0,0,0,0.387328,0,0
"Rspo3",0,0,0,0,0,0,0,0,0
"Rspo4",0,0,0,0,0,0,0,0,0
"Rspry1",5.75033,7.89723,7.07067,8.09744,2.81235,4.459,8.66547,7.57548,3.49672
"Rsrc1",9.22777,12.5289,11.5492,8.77112,9.02616,12.0749,8.02258,8.41614,12.2046
"Rsrc2",28.3226,26.5203,29.8507,46.364,43.2872,32.9435,43.7068,52.2012,64.2623
"Rsrp1",64.1203,107.854,115.331,153.281,192.947,150.726,197.28,182.971,79.8498
"Rsu1",34.2051,33.9119,37.1108,40.3749,55.3529,38.0304,31.487,47.4065,44.9642
"Rtbdn",0.273074,0,0,0,0,0,0.712228,0,0
